Coffee/WaterRatio,Temperature,L-Malic acid,Trigonelline,Pyrogallol,Cinnamic acid,Citric acid,Quinic acid,Fructose,Glucose,Ferulic acid,Caffeic acid,Sucrose,Lactose,Maltose,Chlorogenic acid,Caffeine
10,93,0.045549203,0.002539252,0.003591693,5.73E-05,0.411054273,2.841522068,0.000137714,2.47E-05,7.92E-05,0.002539252,0.026263015,0.009520931,7.05E-05,0.927664399,0.047715786
10,94,0.013954294,0.031929254,0.088425447,0.000230613,0.000130262,2.862750464,0.005928221,0.000480725,0.000241904,0.031929254,0.032435467,0.006478001,0.00015932,0.738249752,0.017187846
10,94,0.010479068,0.001995582,0.002435124,4.62E-05,0.018389857,2.362508053,0.000117183,1.71E-05,7.77E-05,0.001995582,0.008145308,0.008738431,5.82E-05,0.710045595,0.084537655
10,94,0.014707367,0.001891685,0.002546081,4.97E-05,0.01108156,2.485558266,0.000121641,1.83E-05,6.28E-05,0.001891685,0.014833723,0.011733714,6.19E-05,0.808009614,0.0828271
10,94,0.062610781,0.02770118,0.053834816,0.000286077,0.310401967,2.953939487,0.00301863,0.000338256,0.000337627,0.02770118,0.029731134,0.005391792,0.000283783,1.216321098,0.572849077
10,94,0.057588961,0.027563115,0.059667704,0.000287067,0.160518762,3.062376813,0.003271233,0.000374456,0.000326283,0.027563115,0.027599161,0.005335811,0.000263289,1.378665717,0.571876821
12,84,0.101800928,0.004837183,0.012714065,0.0002453,0.474628942,1.919924016,0.001404071,9.83E-05,0.000259665,0.004837183,0.050589095,0.013952022,0.00054959,1.171305759,1.010988347
12,84,0.117003477,0.004741216,0.011009657,0.000250234,0.904667142,1.783510601,0.001240021,8.39E-05,0.000231207,0.004741216,0.048023338,0.012443763,0.00061897,1.107706089,0.928646715
12,84,0.101566435,0.005581139,0.011590548,0.000195881,0.319080796,1.886925361,0.001446417,9.41E-05,0.000231341,0.005581139,0.052304339,0.014874192,0.000621798,1.156491037,0.8700005
12,84,0.007141276,0.000114536,9.21E-05,4.32E-06,0.012563028,0.901584448,2.34E-05,1.81E-06,2.06E-05,0.000114536,0.004631951,0.001950491,1.83E-05,0.154452223,0.005751836
