Coffee/WaterRatio,Temperature,L-Malic acid,Trigonelline,Pyrogallol,Cinnamic acid,Citric acid,Quinic acid,Fructose,Glucose,Ferulic acid,Caffeic acid,Sucrose,Lactose,Maltose,CGA(Bitterness),Caffeine,CGA(Acidity)
10,87,1.223857727,0.0707663,0.015041546,0.01333325,4.248072795,2.063542904,0.000851196,0.000212481,0.01856235,29.48595833,0.077301384,0.302180172,8.05E-05,21.11179059,622.904062,58.3198635
10,87,1.228879618,0.058605717,0.014285544,0.012524563,4.025258488,2.23900687,0.000672693,0.000190929,0.0171136,24.41904861,0.081478382,0.319401828,6.24E-05,21.95607714,594.3188419,60.65214679
10,88,1.158854218,0.033925858,0.008005649,0.009112438,4.583300181,1.935803524,0.000415403,0.000100857,0.01286085,14.13577431,0.048768331,0.233388414,5.38E-05,16.06058957,461.111326,44.36626953
10,88,1.068574873,0.038015079,0.00960135,0.01038275,3.392902339,2.090227609,0.000527119,0.000124714,0.01244895,15.83961632,0.056462516,0.271563,6.01E-05,18.73514161,681.7832209,51.75453483
10,88,1.117203764,0.041244021,0.009303587,0.008832625,4.287661661,2.126286296,0.000495339,0.000114571,0.013823,17.18500868,0.073046647,0.259643586,5.76E-05,19.70593227,563.8290822,54.436277
10,89,1.094675055,0.030001517,0.007279027,0.008321375,4.854399567,2.084000031,0.000353444,9.50E-05,0.0108015,12.50063194,0.04599911,0.256796724,6.21E-05,18.51448204,420.2034627,51.14497801
10,89,1.050393582,0.02758195,0.006602688,0.008158063,4.357905913,1.987976953,0.000337642,8.40E-05,0.0099565,11.49247917,0.067151441,0.274367,7.56E-05,18.44688433,335.3848552,50.95824401
10,89,0.001818182,0.025458825,0.006114378,0.007570125,6.944397276,2.028365442,0.000394817,7.47E-05,0.00912475,10.60784375,0.053616361,0.284004276,4.95E-05,17.741959,83.17364939,49.01093646
10,90,1.183752564,0.017774358,0.004271853,0.006596688,5.788216228,1.789797511,0.000288767,4.87E-05,0.00873925,7.405982639,0.030222386,0.235717862,5.76E-05,17.15478304,300.5373263,47.38890342
10,90,0.715189236,0.022440292,0.006293583,0.00624375,0.162306102,2.38443729,0.000326673,8.49E-05,0.0061849,9.350121528,0.066958571,0.373895828,4.65E-05,21.25575404,232.1061364,58.71755259
10,90,0.947517127,0.018976446,0.004806439,0.006762688,3.15769426,1.903376623,0.000363129,5.94E-05,0.0079675,7.906852431,0.036063269,0.246619862,5.94E-05,17.6346082,278.0747293,48.71438728
10,91,0.712392255,0.017341671,0.00474269,0.0040875,0.236338346,2.30482097,0.000258162,5.47E-05,0.0056653,7.225696181,0.071656114,0.338643,4.07E-05,21.39781398,125.9382513,59.10998337
10,91,0.618540836,0.014233271,0.004014104,0.00429375,0.514775984,2.255294561,0.000310646,4.54E-05,0.004875,5.930529514,0.064652888,0.314762345,4.96E-05,18.9055919,165.6158367,52.22539199
10,91,0.703694418,0.016110342,0.00476579,0.00516875,1.090306858,2.091581556,0.000227838,5.54E-05,0.0056276,6.712642361,0.06084758,0.325468517,4.54E-05,19.3921559,161.1228952,53.56949144
10,92,0.397012909,0.011002229,0.003059968,0.0039,0.173073276,1.955075696,0.000170134,3.37E-05,0.00413,4.584262153,0.038120535,0.318450483,4.66E-05,16.97117959,128.047652,46.88171157
